phase,local_step,global_step,reward,reward_std,kl,loss,completion_length,source_path
Phase A,1,1,-2.25,0.0,9.996816515922546e-06,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,2,2,1.125,0.0,9.310432460551965e-06,0.0,57.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,3,3,3.0625,2.0329320430755615,2.166498268252326e-05,0.0221,56.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,4,4,-0.59375,2.3422911167144775,2.533322822273476e-05,0.0055,63.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,5,5,1.625,4.065864086151123,9.989137197408127e-06,0.0525,59.25,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,6,6,1.59375,4.021669864654541,2.9901618290750775e-05,0.0359,60.75,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,7,7,-1.75,0.7071067690849304,2.519856207072735e-05,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,8,8,4.5625,0.0883883461356163,1.8798489236360183e-05,0.0359,49.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,9,9,-0.5625,2.3864853382110596,5.3949564971844666e-05,0.0249,61.75,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,10,10,-2.0,0.3535533845424652,4.924042150378227e-05,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,11,11,-2.25,0.0,0.0001302235759794712,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,12,12,1.125,0.0883883461356163,0.00010598821245366707,0.0414,60.25,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,13,13,1.1875,0.0,3.9761000607541064e-05,0.0,51.25,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,14,14,-2.25,0.0,4.984554834663868e-05,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,15,15,1.15625,0.04419417306780815,7.670031118323095e-05,0.0166,56.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,16,16,1.125,4.772970676422119,0.00021764548728242517,0.0856,56.25,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,17,17,2.71875,2.3422911167144775,0.0003256015697843395,0.0083,61.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,18,18,4.5625,0.0883883461356163,0.00030462307040579617,0.0276,50.25,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,19,19,-2.25,0.0,0.0004830381367355585,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,20,20,1.0625,0.0,0.000622665167611558,0.0,62.75,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,21,21,-0.5625,2.3864853382110596,0.0010160573874600232,0.0166,62.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,22,22,-2.25,0.0,0.0010137555655092,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,23,23,4.40625,0.04419417306780815,0.0006345464498735964,0.0166,60.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,24,24,-2.0,0.3535533845424652,0.0007085471879690886,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,25,25,4.0625,0.6187184453010559,0.002198670932557434,0.0221,57.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,26,26,-2.25,0.0,0.0018668444827198982,0.0,64.0,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,27,27,-0.3125,2.7400386333465576,0.005483848508447409,0.0387,60.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
Phase A,28,28,2.8125,2.3864853382110596,0.005333788110874593,0.0386,56.5,kaggle_downloads/kg_notebook85659b68a0_v2_2026-04-30/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-237/trainer_state.json
